#=====================================================
# File created:        Sat-12-Oct-2024-at-08-40-30PM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        7.359628
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2611.7953  0.2698 
   00001    0.6868   -3829.9550  0.2595 
   00002    0.6300   -4348.6090  0.2690 
   00003    0.5940   -4713.6223  0.2747 
   00004    0.5652   -4963.6259  0.2773 
   00005    0.5376   -5182.9413  0.2692 
   00006    0.5456   -5220.1206  0.2810 
   00007    0.5368   -5334.9920  0.2976 
   00008    0.5328   -5404.2981  0.3034 
   00009    0.5172   -5577.6888  0.3091 
   00010    0.5104   -5547.8670  0.3090 
   00011    0.5236   -5664.4837  0.2956 
   00012    0.5144   -5735.8385  0.3050 
   00013    0.5020   -5730.8198  0.2931 
   00014    0.4980   -5751.6532  0.2815 
   00015    0.5060   -5747.2794  0.2801 
   00016    0.5004   -5708.5578  0.2861 
   00017    0.5000   -5747.1532  0.2695 
   00018    0.5076   -5704.3658  0.2812 
   00019    0.4916   -5736.9463  0.2930 
   00020    0.4900   -5712.0560  0.2981 
   00021    0.5024   -5760.7226  0.3083 
   00022    0.4992   -5764.0047  0.2926 
   00023    0.5036   -5743.2495  0.2956 
   00024    0.5068   -5714.3709  0.2870 
   00025    0.4940   -5701.7629  0.2726 
   00026    0.5124   -5730.4541  0.2712 
   00027    0.4908   -5705.1106  0.2709 
   00028    0.5116   -5674.7398  0.2678 
   00029    0.4896   -5756.7718  0.2718 
   00030    0.4924   -5850.2014  0.2741 
   00031    0.4932   -5843.2546  0.2748 
   00032    0.4888   -5756.3805  0.2794 
   00033    0.5044   -5744.7074  0.2917 
   00034    0.5260   -5841.4936  0.2873 
   00035    0.5120   -5836.2688  0.2769 
   00036    0.4952   -5813.8385  0.2728 
   00037    0.4900   -5932.3560  0.2741 
   00038    0.4952   -5781.5945  0.2679 
   00039    0.4968   -5740.1752  0.2617 
   00040    0.5052   -5839.5428  0.2661 
   00041    0.5076   -5903.8462  0.2614 
   00042    0.4840   -5857.2188  0.2655 
   00043    0.5008   -5899.3253  0.2696 
   00044    0.5244   -5900.4544  0.2818 
   00045    0.4900   -5914.1424  0.2914 
   00046    0.4764   -5948.7218  0.2971 
   00047    0.4968   -5951.0073  0.3030 
   00048    0.4988   -5926.3420  0.3105 
   00049    0.4868   -5897.3409  0.3131 
   00050    0.5044   -5889.7724  0.3109 
   00051    0.5016   -5749.1936  0.3202 
   00052    0.5096   -5859.9255  0.3247 
   00053    0.4908   -5909.5809  0.3150 
   00054    0.4948   -5969.1150  0.3048 
   00055    0.5148   -5994.6323  0.3021 
   00056    0.4868   -5973.6071  0.3001 
   00057    0.4708   -5854.8458  0.3002 
   00058    0.4964   -5836.2744  0.2998 
   00059    0.4760   -5919.5166  0.2954 
   00060    0.5204   -5983.5790  0.2996 
   00061    0.4780   -6003.6427  0.3133 
   00062    0.4892   -5950.0488  0.3196 
   00063    0.4920   -5871.7379  0.3153 
   00064    0.5076   -5860.3534  0.3164 
   00065    0.4904   -5799.2326  0.3154 
   00066    0.4820   -5882.7817  0.3272 
   00067    0.4908   -5817.2526  0.3283 
   00068    0.4968   -5953.1864  0.3206 
   00069    0.4808   -5964.1924  0.3310 
   00070    0.4780   -5992.1700  0.3361 
   00071    0.4816   -6016.9973  0.3414 
   00072    0.4860   -5995.9740  0.3387 
   00073    0.4748   -6012.6618  0.3455 
   00074    0.4760   -6021.2562  0.3411 
   00075    0.4896   -5890.7908  0.3361 
   00076    0.5124   -5829.2146  0.3452 
   00077    0.4908   -5886.6130  0.3454 
   00078    0.4744   -5950.9965  0.3447 
   00079    0.4880   -6016.5666  0.3533 
   00080    0.5024   -6006.5832  0.3393 
   00081    0.4940   -5994.6703  0.3276 
   00082    0.4740   -5994.9538  0.3218 
   00083    0.4912   -6000.8265  0.3224 
   00084    0.4940   -5957.6920  0.3191 
   00085    0.5056   -5960.6605  0.3157 
   00086    0.4844   -5920.5522  0.3074 
   00087    0.4816   -5931.2182  0.3092 
   00088    0.4812   -5984.9427  0.3241 
   00089    0.4896   -6003.1453  0.3196 
   00090    0.4840   -5945.9351  0.3175 
   00091    0.4892   -5897.0817  0.3413 
   00092    0.4828   -5969.7094  0.3366 
   00093    0.4868   -5940.3164  0.3376 
   00094    0.5000   -5950.9561  0.3301 
   00095    0.4808   -5902.1330  0.3215 
   00096    0.4896   -5802.8571  0.3153 
   00097    0.4976   -5845.5770  0.3139 
   00098    0.5092   -5866.7027  0.3054 
   00099    0.4908   -5977.4075  0.3063 
   00100    0.4988   -5863.9465  0.2869 
