#=====================================================
# File created:        Sun-27-Oct-2024-at-03-18-38PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.114948
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -2429.9041  0.2542 
   00001    1.0000   -2429.9041  0.2542 
   00002    1.0000   -2429.9041  0.2542 
   00003    1.0000   -2429.9041  0.2542 
   00004    1.0000   -2429.9041  0.2542 
   00005    1.0000   -2429.9041  0.2542 
   00006    1.0000   -2429.9041  0.2542 
   00007    1.0000   -2429.9041  0.2542 
   00008    1.0000   -2429.9041  0.2542 
   00009    1.0000   -2429.9041  0.2542 
   00010    1.0000   -2429.9041  0.2542 
   00011    1.0000   -2429.9041  0.2542 
   00012    1.0000   -2429.9041  0.2542 
   00013    1.0000   -2429.9041  0.2542 
   00014    0.2148   -2429.9041  0.2542 
   00015    1.0000   -2429.9041  0.2542 
   00016    1.0000   -2429.9041  0.2542 
   00017    1.0000   -2429.9041  0.2542 
   00018    1.0000   -2429.9041  0.2542 
   00019    1.0000   -2429.9041  0.2542 
   00020    1.0000   -2429.9041  0.2542 
   00021    1.0000   -2429.9041  0.2542 
   00022    0.0000   -2429.9041  0.2542 
   00023    0.0000   -2429.9041  0.2542 
   00024    0.0000   -2429.9041  0.2542 
   00025    1.0000   -2429.9041  0.2542 
   00026    0.0000   -2429.9041  0.2542 
   00027    1.0000   -2429.9041  0.2542 
   00028    1.0000   -2429.9041  0.2542 
   00029    1.0000   -2429.9041  0.2542 
   00030    1.0000   -2429.9041  0.2542 
   00031    1.0000   -2429.9041  0.2542 
   00032    1.0000   -2429.9041  0.2542 
   00033    1.0000   -2429.9041  0.2542 
   00034    1.0000   -2429.9041  0.2542 
   00035    1.0000   -2429.9041  0.2542 
   00036    1.0000   -2429.9041  0.2542 
   00037    0.0000   -2429.9041  0.2542 
   00038    1.0000   -2429.9041  0.2542 
   00039    1.0000   -2429.9041  0.2542 
   00040    1.0000   -2429.9041  0.2542 
   00041    1.0000   -2429.9041  0.2542 
   00042    1.0000   -2429.9041  0.2542 
   00043    1.0000   -2429.9041  0.2542 
   00044    0.0012   -2429.9041  0.2542 
   00045    1.0000   -2429.9041  0.2542 
   00046    1.0000   -2429.9041  0.2542 
   00047    0.0000   -2429.9041  0.2542 
   00048    1.0000   -2429.9041  0.2542 
   00049    1.0000   -2429.9041  0.2542 
   00050    1.0000   -2429.9041  0.2542 
