#=====================================================
# File created:        Fri-18-Oct-2024-at-02-35-50PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        17.200550
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9946.8490  0.2544 
   00001    0.6784  -14920.9230  0.2566 
   00002    0.6189  -18091.6561  0.2568 
   00003    0.5869  -20396.1464  0.2606 
   00004    0.5556  -22173.9432  0.2616 
   00005    0.5268  -23622.8902  0.2607 
   00006    0.5136  -24732.8209  0.2633 
   00007    0.5033  -25594.1029  0.2673 
   00008    0.4963  -26355.9702  0.2686 
   00009    0.4856  -27044.0034  0.2684 
   00010    0.4841  -27550.4813  0.2695 
   00011    0.4782  -28073.3654  0.2723 
   00012    0.4738  -28497.3699  0.2748 
   00013    0.4768  -28763.0819  0.2777 
   00014    0.4629  -29153.6027  0.2792 
   00015    0.4580  -29380.4630  0.2791 
   00016    0.4528  -29635.5990  0.2739 
   00017    0.4612  -29878.2197  0.2725 
   00018    0.4562  -29993.2882  0.2763 
   00019    0.4559  -30235.5152  0.2795 
   00020    0.4539  -30322.1792  0.2810 
   00021    0.4440  -30544.4087  0.2826 
   00022    0.4457  -30639.2875  0.2785 
   00023    0.4473  -30787.1180  0.2836 
   00024    0.4512  -30935.1276  0.2827 
   00025    0.4465  -31086.0135  0.2815 
   00026    0.4448  -31159.1565  0.2839 
   00027    0.4424  -31291.3418  0.2846 
   00028    0.4454  -31411.7389  0.2865 
   00029    0.4293  -31412.8217  0.2873 
   00030    0.4380  -31443.8725  0.2853 
   00031    0.4413  -31540.4767  0.2826 
   00032    0.4370  -31479.6420  0.2820 
   00033    0.4319  -31505.1650  0.2800 
   00034    0.4331  -31698.0667  0.2772 
   00035    0.4366  -31757.8761  0.2768 
   00036    0.4359  -31776.2705  0.2772 
   00037    0.4350  -31811.6568  0.2733 
   00038    0.4394  -31826.5287  0.2722 
   00039    0.4375  -31848.8872  0.2741 
   00040    0.4300  -31922.4719  0.2739 
   00041    0.4291  -31960.5280  0.2727 
   00042    0.4358  -32020.2381  0.2720 
   00043    0.4307  -31994.6662  0.2722 
   00044    0.4275  -32137.5075  0.2715 
   00045    0.4325  -32168.4195  0.2689 
   00046    0.4259  -32191.4255  0.2709 
   00047    0.4266  -32274.4273  0.2720 
   00048    0.4352  -32353.5854  0.2706 
   00049    0.4324  -32375.5823  0.2704 
   00050    0.4252  -32397.6593  0.2722 
