#=====================================================
# File created:        Mon-28-Oct-2024-at-01-18-28AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        9.781440
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -9881.7862  0.7601 
   00001    0.6859  -14814.9085  0.7655 
   00002    0.6221  -17815.5829  0.7686 
   00003    0.5830  -20066.2165  0.7700 
   00004    0.5572  -22014.1640  0.7680 
   00005    0.5354  -23316.8196  0.7662 
   00006    0.5224  -24360.6988  0.7689 
   00007    0.5075  -25305.6823  0.7729 
   00008    0.5019  -26075.4457  0.7792 
   00009    0.4834  -26743.2704  0.7798 
   00010    0.4804  -27258.5654  0.7801 
   00011    0.4883  -27685.9872  0.7780 
   00012    0.4723  -28026.8689  0.7780 
   00013    0.4659  -28421.0942  0.7774 
   00014    0.4637  -28789.4142  0.7810 
   00015    0.4600  -29124.9507  0.7862 
   00016    0.4581  -29310.3570  0.7872 
   00017    0.4568  -29606.5091  0.7865 
   00018    0.4565  -29851.7582  0.7859 
   00019    0.4556  -30098.3080  0.7903 
   00020    0.4564  -30356.3376  0.7903 
   00021    0.4465  -30555.7943  0.7912 
   00022    0.4442  -30718.8960  0.7896 
   00023    0.4388  -30793.6110  0.7896 
   00024    0.4421  -30906.0657  0.7904 
   00025    0.4436  -30990.6720  0.7915 
   00026    0.4398  -31154.2017  0.7920 
   00027    0.4357  -31274.8698  0.7924 
   00028    0.4423  -31345.2907  0.7926 
   00029    0.4356  -31382.2722  0.7910 
   00030    0.4345  -31433.4283  0.7864 
   00031    0.4272  -31512.8761  0.7852 
   00032    0.4320  -31666.7812  0.7854 
   00033    0.4347  -31799.1606  0.7852 
   00034    0.4272  -31793.7638  0.7871 
   00035    0.4292  -31818.3550  0.7881 
   00036    0.4283  -31806.7397  0.7869 
   00037    0.4283  -31801.5715  0.7853 
   00038    0.4405  -31938.1721  0.7858 
   00039    0.4283  -32024.3155  0.7861 
   00040    0.4224  -32038.3705  0.7874 
   00041    0.4311  -32139.8151  0.7900 
   00042    0.4354  -32090.1157  0.7906 
   00043    0.4354  -32160.9162  0.7901 
   00044    0.4324  -32169.7582  0.7939 
   00045    0.4294  -32267.8530  0.7922 
   00046    0.4227  -32348.6414  0.7931 
   00047    0.4356  -32404.8843  0.7922 
   00048    0.4213  -32377.6024  0.7964 
   00049    0.4364  -32283.6223  0.7996 
   00050    0.4355  -32327.1687  0.8011 
