#=====================================================
# File created:        Sun-27-Oct-2024-at-11-13-23AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.531074
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.0000       0.0000  0.0000 
   00001    0.6820   -3740.0456  0.2596 
   00002    0.6160   -4511.3823  0.2666 
   00003    0.5824   -5053.2343  0.2739 
   00004    0.5624   -5556.2231  0.2919 
   00005    0.5452   -5937.5601  0.2948 
   00006    0.5244   -6261.6217  0.3002 
   00007    0.5080   -6456.6940  0.3017 
   00008    0.4964   -6632.2495  0.3019 
   00009    0.4900   -6816.2280  0.3080 
   00010    0.4724   -6942.3016  0.3067 
   00011    0.4664   -7057.8343  0.3090 
   00012    0.4672   -7128.5450  0.3027 
   00013    0.4600   -7235.1423  0.3040 
   00014    0.4624   -7303.7271  0.3152 
   00015    0.4664   -7386.7657  0.3192 
   00016    0.4420   -7455.9650  0.3274 
   00017    0.4476   -7546.5160  0.3308 
   00018    0.4520   -7570.7345  0.3372 
   00019    0.4392   -7619.6104  0.3424 
   00020    0.4568   -7679.1398  0.3461 
   00021    0.4512   -7725.2347  0.3488 
   00022    0.4404   -7760.9283  0.3574 
   00023    0.4316   -7788.3999  0.3586 
   00024    0.4444   -7818.6382  0.3668 
   00025    0.4348   -7848.1174  0.3709 
   00026    0.4232   -7898.8517  0.3710 
   00027    0.4292   -7911.5478  0.3642 
   00028    0.4372   -7956.1455  0.3668 
   00029    0.4388   -7956.3738  0.3636 
   00030    0.4312   -7959.9024  0.3653 
   00031    0.4188   -7978.4572  0.3672 
   00032    0.4260   -8015.4443  0.3719 
   00033    0.4164   -8054.3546  0.3799 
   00034    0.4208   -8063.3015  0.3788 
   00035    0.4268   -8113.1661  0.3816 
   00036    0.4172   -8102.6145  0.3831 
   00037    0.4324   -8145.6333  0.3909 
   00038    0.4328   -8134.0181  0.3897 
   00039    0.4140   -8164.3108  0.3956 
   00040    0.4204   -8195.7519  0.4003 
   00041    0.4380   -8198.2618  0.4037 
   00042    0.4356   -8182.0355  0.4033 
   00043    0.4044   -8150.9119  0.3987 
   00044    0.4064   -8144.6540  0.3922 
   00045    0.4384   -8148.4806  0.3958 
   00046    0.4296   -8174.0435  0.3901 
   00047    0.4076   -8200.1124  0.3962 
   00048    0.4208   -8236.6678  0.3938 
   00049    0.4204   -8190.3032  0.3906 
   00050    0.4516   -8202.0984  0.3943 
