#=====================================================
# File created:        Sun-27-Oct-2024-at-12-04-20PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.208803
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -2641.1522  0.2639 
   00001    0.7052   -2769.6554  0.2664 
   00002    0.7096   -2863.3240  0.2676 
   00003    0.7028   -3004.3783  0.2687 
   00004    0.7080   -3116.2129  0.2744 
   00005    0.6752   -3200.6889  0.2752 
   00006    0.6584   -3317.3807  0.2780 
   00007    0.6580   -3400.0559  0.2796 
   00008    0.6692   -3475.6154  0.2777 
   00009    0.6484   -3564.0850  0.2782 
   00010    0.6628   -3634.2104  0.2828 
   00011    0.6568   -3717.2515  0.2844 
   00012    0.6464   -3775.2020  0.2831 
   00013    0.6444   -3833.3335  0.2833 
   00014    0.6360   -3917.8178  0.2874 
   00015    0.6512   -3962.9717  0.2909 
   00016    0.6276   -4021.5040  0.2908 
   00017    0.6344   -4107.6694  0.2911 
   00018    0.6036   -4180.9048  0.2895 
   00019    0.6280   -4238.4382  0.2891 
   00020    0.6180   -4297.7551  0.2904 
   00021    0.6048   -4343.5066  0.2903 
   00022    0.6256   -4394.0230  0.2910 
   00023    0.6152   -4446.3636  0.2880 
   00024    0.5948   -4494.0715  0.2905 
   00025    0.6068   -4549.5338  0.2897 
   00026    0.5928   -4595.0345  0.2893 
   00027    0.5924   -4663.9358  0.2959 
   00028    0.5892   -4706.9333  0.2941 
   00029    0.6068   -4757.7209  0.2970 
   00030    0.5876   -4808.0637  0.2997 
   00031    0.5664   -4844.7821  0.2986 
   00032    0.5836   -4893.3599  0.2965 
   00033    0.5728   -4941.8901  0.2944 
   00034    0.5772   -5004.1106  0.2929 
   00035    0.5688   -5058.9943  0.2963 
   00036    0.5704   -5080.6228  0.2937 
   00037    0.5692   -5132.6932  0.2940 
   00038    0.5600   -5167.9094  0.2945 
   00039    0.5412   -5217.0632  0.2960 
   00040    0.5748   -5252.8298  0.2996 
   00041    0.5656   -5290.2461  0.3023 
   00042    0.5604   -5313.8893  0.3025 
   00043    0.5432   -5334.9873  0.2995 
   00044    0.5384   -5380.8679  0.3006 
   00045    0.5324   -5391.2341  0.2988 
   00046    0.5588   -5436.9908  0.3035 
   00047    0.5484   -5477.9484  0.3032 
   00048    0.5412   -5504.0654  0.3032 
   00049    0.5560   -5544.1710  0.3051 
   00050    0.5328   -5590.1608  0.3052 
