#=====================================================
# File created:        Tue-22-Oct-2024-at-02-50-44PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.289321
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000    -109.1478  0.3382 
   00001    0.6500    -144.7557  0.3049 
   00002    0.7100    -185.4828  0.2775 
   00003    0.6400    -216.1793  0.3137 
   00004    0.5300    -230.6721  0.3592 
   00005    0.6300    -243.9625  0.3546 
   00006    0.5400    -251.1789  0.3633 
   00007    0.5200    -258.0210  0.3759 
   00008    0.4500    -261.8586  0.3923 
   00009    0.4800    -268.5302  0.4131 
   00010    0.5100    -265.8294  0.4180 
   00011    0.5600    -270.0776  0.4495 
   00012    0.4900    -266.9170  0.4803 
   00013    0.4500    -263.1056  0.4742 
   00014    0.4800    -283.0523  0.5433 
   00015    0.5600    -290.1171  0.5476 
   00016    0.5000    -287.1211  0.5380 
   00017    0.3800    -295.3138  0.5850 
   00018    0.3800    -297.2370  0.6057 
   00019    0.4500    -301.5388  0.5940 
   00020    0.4000    -299.8855  0.6191 
   00021    0.4500    -305.2242  0.6231 
   00022    0.4700    -312.5625  0.6462 
   00023    0.4800    -312.6034  0.6355 
   00024    0.5700    -314.8750  0.6267 
   00025    0.5100    -315.7447  0.6282 
   00026    0.3100    -310.1875  0.6423 
   00027    0.4100    -316.8835  0.6551 
   00028    0.4400    -319.9710  0.6527 
   00029    0.4000    -318.4940  0.6747 
   00030    0.4500    -317.6840  0.7030 
   00031    0.3800    -311.7475  0.7081 
   00032    0.4300    -321.9746  0.7182 
   00033    0.4700    -322.1898  0.7159 
   00034    0.4100    -339.5015  0.7299 
   00035    0.4400    -329.3859  0.7475 
   00036    0.3900    -323.8731  0.7608 
   00037    0.4700    -317.3227  0.7530 
   00038    0.4800    -317.7603  0.7360 
   00039    0.3900    -308.5244  0.7420 
   00040    0.5300    -316.5151  0.7362 
   00041    0.4500    -318.9615  0.7602 
   00042    0.4700    -322.7307  0.7827 
   00043    0.4700    -330.2120  0.8123 
   00044    0.4700    -339.4681  0.8339 
   00045    0.4100    -335.9261  0.8312 
   00046    0.3700    -340.8089  0.8499 
   00047    0.4400    -334.7677  0.8480 
   00048    0.4500    -321.1596  0.8306 
   00049    0.4000    -328.5546  0.8370 
   00050    0.4300    -341.2312  0.8899 
