#=====================================================
# File created:        Wed-23-Oct-2024-at-11-15-46PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.927038
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -2553.5540  0.2539 
   00001    1.0000   -2553.5540  0.2539 
   00002    0.0000   -2553.5540  0.2539 
   00003    0.0000   -2553.5540  0.2539 
   00004    1.0000   -2553.5540  0.2539 
   00005    0.0000   -2553.5540  0.2539 
   00006    0.0000   -2553.5540  0.2539 
   00007    0.0000   -2553.5540  0.2539 
   00008    0.0000   -2553.5540  0.2539 
   00009    0.0000   -2553.5540  0.2539 
   00010    0.0000   -2553.5540  0.2539 
   00011    1.0000   -2553.5540  0.2539 
   00012    0.0000   -2553.5540  0.2539 
   00013    0.0000   -2553.5540  0.2539 
   00014    1.0000   -2553.5540  0.2539 
   00015    0.0000   -2553.5540  0.2539 
   00016    1.0000   -2553.5540  0.2539 
   00017    0.0000   -2553.5540  0.2539 
   00018    1.0000   -2553.5540  0.2539 
   00019    0.0000   -2553.5540  0.2539 
   00020    0.0000   -2553.5540  0.2539 
   00021    0.0000   -2553.5540  0.2539 
   00022    0.0000   -2553.5540  0.2539 
   00023    0.0000   -2553.5540  0.2539 
   00024    0.0000   -2553.5540  0.2539 
   00025    0.0236   -2553.5540  0.2539 
   00026    1.0000   -2553.5540  0.2539 
   00027    0.0000   -2553.5540  0.2539 
   00028    0.0000   -2553.5540  0.2539 
   00029    0.0000   -2553.5540  0.2539 
   00030    1.0000   -2553.5540  0.2539 
   00031    0.0000   -2553.5540  0.2539 
   00032    0.0000   -2553.5540  0.2539 
   00033    0.0000   -2553.5540  0.2539 
   00034    1.0000   -2553.5540  0.2539 
   00035    0.0000   -2553.5540  0.2539 
   00036    0.0000   -2553.5540  0.2539 
   00037    0.0000   -2553.5540  0.2539 
   00038    0.0000   -2553.5540  0.2539 
   00039    0.0000   -2553.5540  0.2539 
   00040    1.0000   -2553.5540  0.2539 
   00041    0.0000   -2553.5540  0.2539 
   00042    0.0000   -2553.5540  0.2539 
   00043    0.0000   -2553.5540  0.2539 
   00044    1.0000   -2553.5540  0.2539 
   00045    0.0000   -2553.5540  0.2539 
   00046    0.0000   -2553.5540  0.2539 
   00047    0.0000   -2553.5540  0.2539 
   00048    0.0000   -2553.5540  0.2539 
   00049    0.0000   -2553.5540  0.2539 
   00050    0.0000   -2553.5540  0.2539 
