#=====================================================
# File created:        Tue-29-Oct-2024-at-07-11-05PM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.228711
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000    -615.3011  0.2670 
   00001    0.6704    -906.4852  0.2722 
   00002    0.6560   -1094.0333  0.2738 
   00003    0.5856   -1204.4267  0.2773 
   00004    0.5584   -1302.5331  0.2770 
   00005    0.5728   -1385.1931  0.2748 
   00006    0.5552   -1485.7861  0.2848 
   00007    0.5232   -1520.7025  0.2797 
   00008    0.5344   -1557.2125  0.2856 
   00009    0.4976   -1619.7401  0.2942 
   00010    0.5392   -1655.7162  0.2954 
   00011    0.4592   -1701.9660  0.3064 
   00012    0.4816   -1728.2813  0.3126 
   00013    0.4864   -1738.6883  0.3149 
   00014    0.4944   -1761.5329  0.3311 
   00015    0.4720   -1799.2635  0.3354 
   00016    0.4768   -1823.1183  0.3275 
   00017    0.4288   -1811.5015  0.3306 
   00018    0.4512   -1817.0214  0.3308 
   00019    0.4272   -1822.8348  0.3336 
   00020    0.4736   -1840.2750  0.3518 
   00021    0.4608   -1878.1533  0.3661 
   00022    0.4592   -1851.9912  0.3634 
   00023    0.4560   -1859.9735  0.3602 
   00024    0.4896   -1858.5347  0.3681 
   00025    0.4176   -1871.6767  0.3603 
   00026    0.4448   -1892.7297  0.3729 
   00027    0.3968   -1919.9839  0.3725 
   00028    0.4256   -1918.6500  0.3858 
   00029    0.4464   -1898.0041  0.3842 
   00030    0.4208   -1909.2928  0.3914 
   00031    0.4720   -1916.2999  0.4014 
   00032    0.4304   -1922.5612  0.4033 
   00033    0.4688   -1899.6929  0.3988 
   00034    0.4480   -1926.6284  0.4164 
   00035    0.4416   -1960.5729  0.4275 
   00036    0.4448   -1948.4990  0.4208 
   00037    0.4352   -1952.2172  0.4201 
   00038    0.4512   -1962.5728  0.4314 
   00039    0.4352   -1948.7165  0.4330 
   00040    0.4288   -1960.6322  0.4493 
   00041    0.4288   -1935.4916  0.4406 
   00042    0.4160   -1938.2994  0.4542 
   00043    0.4816   -1940.4677  0.4605 
   00044    0.4560   -1970.8826  0.4617 
   00045    0.4208   -1968.7326  0.4684 
   00046    0.4480   -1962.0430  0.4533 
   00047    0.4608   -1943.1178  0.4420 
   00048    0.4160   -1942.6487  0.4380 
   00049    0.4400   -1953.1504  0.4488 
   00050    0.4256   -1969.7973  0.4580 
