#=====================================================
# File created:        Sun-27-Oct-2024-at-06-55-52PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.039899
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -66.2657  0.2916 
   00001    0.7700    -118.7271  0.2852 
   00002    0.6100    -156.0001  0.2566 
   00003    0.6300    -190.1602  0.2632 
   00004    0.6600    -216.7904  0.2551 
   00005    0.5300    -232.0336  0.2965 
   00006    0.5000    -248.1557  0.3109 
   00007    0.4800    -251.4181  0.3484 
   00008    0.4500    -259.4486  0.3104 
   00009    0.4400    -258.9137  0.2937 
   00010    0.5500    -262.5881  0.3212 
   00011    0.5600    -261.0148  0.3501 
   00012    0.3800    -268.9135  0.3375 
   00013    0.5100    -273.3295  0.3553 
   00014    0.4400    -270.5406  0.3920 
   00015    0.4700    -274.5475  0.4107 
   00016    0.4800    -276.1596  0.3977 
   00017    0.4100    -291.8372  0.4120 
   00018    0.4900    -292.4065  0.4259 
   00019    0.4700    -295.5538  0.3591 
   00020    0.5100    -298.3530  0.3760 
   00021    0.4300    -299.3178  0.3953 
   00022    0.5300    -305.0377  0.4214 
   00023    0.3600    -293.1919  0.4405 
   00024    0.3900    -297.6707  0.4606 
   00025    0.4100    -298.5193  0.4496 
   00026    0.4600    -303.8901  0.4427 
   00027    0.4700    -308.8015  0.4557 
   00028    0.5100    -302.9590  0.4582 
   00029    0.4800    -303.0562  0.4822 
   00030    0.4900    -307.2574  0.4936 
   00031    0.4400    -307.5300  0.4656 
   00032    0.4500    -306.9400  0.4688 
   00033    0.4300    -304.6328  0.4413 
   00034    0.4300    -302.6470  0.4355 
   00035    0.3900    -291.2447  0.4309 
   00036    0.4600    -300.0708  0.4383 
   00037    0.5000    -296.0769  0.4449 
   00038    0.3700    -295.4982  0.4473 
   00039    0.4900    -296.3503  0.4610 
   00040    0.5000    -297.7805  0.4659 
   00041    0.4700    -309.3635  0.4832 
   00042    0.4700    -309.1337  0.4751 
   00043    0.3400    -308.9385  0.4934 
   00044    0.4500    -316.4275  0.4886 
   00045    0.4300    -311.0888  0.5004 
   00046    0.4300    -309.9466  0.5093 
   00047    0.4200    -314.4693  0.5127 
   00048    0.3800    -315.5488  0.5020 
   00049    0.4200    -311.5033  0.5267 
   00050    0.4500    -317.2635  0.5275 
