#=====================================================
# File created:        Sun-27-Oct-2024-at-06-03-34PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.000191
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2439.0380  0.2655 
   00001    0.6904   -3593.0736  0.2751 
   00002    0.6248   -4315.7908  0.2829 
   00003    0.6108   -4909.3319  0.2820 
   00004    0.5580   -5429.1608  0.2803 
   00005    0.5396   -5777.7493  0.2809 
   00006    0.5272   -6081.6043  0.2885 
   00007    0.5216   -6314.5068  0.2972 
   00008    0.5072   -6563.9334  0.3123 
   00009    0.4896   -6747.5429  0.3093 
   00010    0.4816   -6919.7087  0.3225 
   00011    0.4636   -7050.2283  0.3295 
   00012    0.4580   -7093.6715  0.3342 
   00013    0.4652   -7209.8896  0.3282 
   00014    0.4516   -7343.1868  0.3334 
   00015    0.4512   -7396.4955  0.3309 
   00016    0.4424   -7451.3172  0.3246 
   00017    0.4696   -7461.8951  0.3212 
   00018    0.4532   -7475.7836  0.3236 
   00019    0.4596   -7564.5119  0.3203 
   00020    0.4464   -7589.2811  0.3184 
   00021    0.4660   -7594.6168  0.3197 
   00022    0.4392   -7626.7682  0.3195 
   00023    0.4556   -7623.7808  0.3202 
   00024    0.4488   -7670.1788  0.3203 
   00025    0.4332   -7713.2740  0.3265 
   00026    0.4404   -7763.7558  0.3297 
   00027    0.4464   -7755.7213  0.3426 
   00028    0.4320   -7749.5395  0.3462 
   00029    0.4492   -7822.2927  0.3454 
   00030    0.4468   -7801.1670  0.3424 
   00031    0.4452   -7801.1456  0.3435 
   00032    0.4280   -7882.2666  0.3439 
   00033    0.4288   -7887.3678  0.3481 
   00034    0.4444   -7926.5994  0.3475 
   00035    0.4324   -7975.9894  0.3481 
   00036    0.4392   -7989.5700  0.3446 
   00037    0.4164   -8013.4850  0.3435 
   00038    0.4340   -8005.6888  0.3499 
   00039    0.4324   -8004.7421  0.3471 
   00040    0.4196   -7998.3197  0.3455 
   00041    0.4132   -8017.4922  0.3446 
   00042    0.4392   -8038.5241  0.3435 
   00043    0.4240   -8031.0158  0.3466 
   00044    0.4292   -8063.3884  0.3553 
   00045    0.4200   -8073.5155  0.3574 
   00046    0.4504   -8117.0171  0.3601 
   00047    0.4216   -8099.7267  0.3530 
   00048    0.4240   -8078.6820  0.3551 
   00049    0.4272   -8061.3893  0.3607 
   00050    0.4232   -8079.5297  0.3569 
