#=====================================================
# File created:        Tue-22-Oct-2024-at-11-30-37AM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.211332
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -110.5857  0.3377 
   00001    0.6900    -149.0988  0.3978 
   00002    0.6600    -177.1028  0.4364 
   00003    0.5400    -193.4321  0.4351 
   00004    0.5000    -232.4532  0.4627 
   00005    0.4200    -235.6551  0.4479 
   00006    0.4600    -255.9381  0.4927 
   00007    0.5400    -274.5547  0.5335 
   00008    0.4200    -283.1928  0.5568 
   00009    0.5000    -290.0600  0.6154 
   00010    0.5000    -293.9066  0.6124 
   00011    0.5700    -293.3267  0.6020 
   00012    0.4900    -294.9284  0.6308 
   00013    0.3900    -302.3974  0.6962 
   00014    0.4300    -302.7789  0.7054 
   00015    0.4400    -306.7295  0.7237 
   00016    0.3900    -313.2633  0.7500 
   00017    0.4300    -326.7990  0.7556 
   00018    0.4400    -331.1185  0.7717 
   00019    0.4100    -332.7730  0.8019 
   00020    0.4400    -332.5350  0.8053 
   00021    0.4300    -340.4617  0.8295 
   00022    0.4200    -344.0167  0.8187 
   00023    0.3800    -348.8976  0.8416 
   00024    0.3300    -347.0031  0.8302 
   00025    0.3000    -349.1878  0.8324 
   00026    0.3400    -345.9919  0.8284 
   00027    0.4600    -345.7285  0.8260 
   00028    0.3900    -346.1424  0.8415 
   00029    0.4300    -343.7942  0.8572 
   00030    0.4700    -337.8285  0.8700 
   00031    0.3900    -341.7425  0.8701 
   00032    0.3900    -336.8902  0.8587 
   00033    0.4300    -339.8294  0.8529 
   00034    0.4600    -339.1393  0.8563 
   00035    0.4300    -335.5583  0.8471 
   00036    0.4100    -336.4831  0.8593 
   00037    0.3400    -336.4742  0.8544 
   00038    0.4300    -338.0350  0.8444 
   00039    0.3800    -341.3711  0.8570 
   00040    0.3600    -345.9554  0.8768 
   00041    0.4100    -349.7413  0.8847 
   00042    0.4000    -354.1209  0.8841 
   00043    0.4800    -348.2318  0.8646 
   00044    0.5300    -341.5358  0.8653 
   00045    0.3700    -344.8823  0.8806 
   00046    0.4400    -346.9391  0.8747 
   00047    0.3400    -343.1938  0.8656 
   00048    0.4000    -336.7720  0.8530 
   00049    0.3700    -334.1579  0.8440 
   00050    0.4000    -332.9741  0.8375 
