         10857816 function calls (10158985 primitive calls) in 16.977 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28440    9.178    0.000    9.726    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\ffi.py:190(__call__)
    13064    0.373    0.000    0.377    0.000 C:\Users\viola\AppData\Roaming\Python\Python312\site-packages\colorama\win32.py:108(_winapi_test)
    13064    0.304    0.000    0.307    0.000 C:\Users\viola\AppData\Roaming\Python\Python312\site-packages\colorama\win32.py:170(GetConsoleMode)
278895/48196    0.302    0.000    0.463    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:318(_rec_list_vars)
  1749179    0.249    0.000    0.313    0.000 {built-in method builtins.isinstance}
166380/82137    0.156    0.000    0.481    0.000 {method 'format' of 'str' objects}
     6532    0.147    0.000    0.147    0.000 C:\Users\viola\AppData\Roaming\Python\Python312\site-packages\colorama\win32.py:177(SetConsoleMode)
146926/74265    0.132    0.000    0.372    0.000 C:\Users\viola\miniconda3\Lib\pprint.py:554(_safe_repr)
     6532    0.109    0.000    1.128    0.000 C:\Users\viola\AppData\Roaming\Python\Python312\site-packages\colorama\ansitowin32.py:81(__init__)
    17749    0.097    0.000    0.205    0.000 {built-in method builtins.sorted}
19696/17330    0.097    0.000    0.241    0.000 C:\Users\viola\miniconda3\Lib\contextlib.py:132(__enter__)
   126682    0.096    0.000    0.211    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:243(notify)
    35126    0.095    0.000    0.225    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:537(__init__)
302392/301971    0.082    0.000    0.147    0.000 {built-in method builtins.getattr}
    64472    0.071    0.000    0.290    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:209(broadcast)
91679/38639    0.068    0.000    0.437    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\_utils.py:44(__str__)
     1603    0.064    0.000    0.368    0.000 C:\Users\viola\miniconda3\Lib\pprint.py:380(_format_dict_items)
70157/69742    0.063    0.000    0.119    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\_utils.py:54(get_reference)
      787    0.060    0.000    0.060    0.000 {built-in method nt.stat}
    13064    0.058    0.000    0.465    0.000 C:\Users\viola\AppData\Roaming\Python\Python312\site-packages\colorama\win32.py:114(winapi_test)
    68369    0.056    0.000    0.073    0.000 C:\Users\viola\miniconda3\Lib\pprint.py:102(_safe_tuple)
    32236    0.054    0.000    0.265    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:404(end_event)
   234553    0.053    0.000    0.072    0.000 {method 'get' of 'dict' objects}
    32236    0.053    0.000    0.216    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:390(start_event)
39437/1661    0.052    0.000    0.731    0.000 C:\Users\viola\miniconda3\Lib\pprint.py:171(_format)
  674/649    0.052    0.000    0.343    0.001 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\analysis.py:23(compute_use_defs)
146926/74265    0.051    0.000    0.399    0.000 C:\Users\viola\miniconda3\Lib\pprint.py:466(format)
    27165    0.049    0.000    0.374    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:544(_to_string)
    74265    0.049    0.000    0.464    0.000 C:\Users\viola\miniconda3\Lib\pprint.py:457(_repr)
39938/342    0.047    0.000    0.118    0.000 C:\Users\viola\miniconda3\Lib\copy.py:118(deepcopy)
    94046    0.045    0.000    0.071    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\targetconfig.py:111(getter)
    26128    0.044    0.000    0.173    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:13(__init__)
   234241    0.044    0.000    0.044    0.000 {method 'append' of 'list' objects}
 1528/108    0.041    0.000   16.388    0.152 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
   119567    0.041    0.000    0.041    0.000 {method 'startswith' of 'str' objects}
   222269    0.041    0.000    0.041    0.000 {method 'extend' of 'list' objects}
     1569    0.040    0.000    0.074    0.000 <frozen abc>:105(__new__)
146964/143823    0.039    0.000    0.097    0.000 {built-in method builtins.repr}
    34885    0.037    0.000    0.069    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\_utils.py:24(deduplicate)
87017/82285    0.036    0.000    0.338    0.000 {built-in method builtins.next}
66998/66409    0.036    0.000    0.113    0.000 {method 'join' of 'str' objects}
    75077    0.034    0.000    0.044    0.000 {built-in method _abc._abc_instancecheck}
    63341    0.034    0.000    0.051    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:270(on_end)
242256/235447    0.034    0.000    0.035    0.000 {built-in method builtins.len}
    64472    0.033    0.000    0.083    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:100(__init__)
13335/13296    0.033    0.000    0.034    0.000 {built-in method __new__ of type object at 0x00007FF95A2B26E0}
      100    0.031    0.000    0.031    0.000 C:\Users\viola\OneDrive\Desktop\SoftEng\accelerating_lebwohllasher\LebwohlLasherNumba.py:243(MC_step)
      198    0.029    0.000    0.029    0.000 {built-in method marshal.loads}
    65128    0.029    0.000    0.051    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:66(_guard_kind)
43247/32352    0.028    0.000    0.050    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\abstract.py:121(__hash__)
    19696    0.027    0.000    0.032    0.000 C:\Users\viola\miniconda3\Lib\contextlib.py:104(__init__)
   148871    0.027    0.000    0.027    0.000 {method 'write' of '_io.StringIO' objects}
     6532    0.027    0.000    0.686    0.000 C:\Users\viola\AppData\Roaming\Python\Python312\site-packages\colorama\winterm.py:178(enable_vt_processing)
44609/43352    0.026    0.000    0.034    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\abstract.py:124(__eq__)
   208998    0.026    0.000    0.026    0.000 C:\Users\viola\miniconda3\Lib\pprint.py:95(__lt__)
    36241    0.026    0.000    0.104    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\_utils.py:16(register)
    28440    0.024    0.000    0.290    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\ffi.py:78(__exit__)
22747/22419    0.024    0.000    0.411    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    36241    0.024    0.000    0.128    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:557(_set_name)
 1004/662    0.024    0.000    9.117    0.014 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\functions.py:281(get_call_type)
     3266    0.023    0.000    1.202    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\errors.py:320(_markup)
    28440    0.023    0.000    0.244    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\ffi.py:72(__enter__)
   126682    0.023    0.000    0.023    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:138(is_start)
     9135    0.022    0.000    0.024    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\numpy_support.py:339(ufunc_can_cast)
   108139    0.022    0.000    0.023    0.000 {method 'add' of 'set' objects}
      808    0.022    0.000    0.065    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\numpy_support.py:357(ufunc_find_matching_loop)
    63341    0.022    0.000    0.031    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\event.py:265(on_start)
     3908    0.022    0.000    0.112    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\targetconfig.py:196(values)
     3369    0.021    0.000    0.066    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\utils.py:346(order_by_target_specificity)
    26128    0.021    0.000    0.397    0.000 C:\Users\viola\AppData\Roaming\Python\Python312\site-packages\colorama\win32.py:115(<genexpr>)
     6941    0.020    0.000    0.037    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:681(descr)
      530    0.020    0.000    0.045    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\analysis.py:118(compute_dead_maps)
    26189    0.020    0.000    0.038    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:564(_get_reference)
    28440    0.020    0.000    0.212    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\base.py:1246(enter_fn)
    28440    0.020    0.000    0.260    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\base.py:1249(exit_fn)
      101    0.020    0.000    0.020    0.000 C:\Users\viola\OneDrive\Desktop\SoftEng\accelerating_lebwohllasher\LebwohlLasherNumba.py:170(all_energy)
  178/176    0.020    0.000    0.078    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\postproc.py:179(_patch_var_dels)
   126404    0.020    0.000    0.020    0.000 {built-in method time.perf_counter}
    75077    0.019    0.000    0.064    0.000 <frozen abc>:117(__instancecheck__)
    14529    0.019    0.000    0.056    0.000 C:\Users\viola\miniconda3\Lib\weakref.py:414(__getitem__)
    36192    0.019    0.000    0.037    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\utils.py:515(stream_list)
     9834    0.018    0.000    0.035    0.000 <frozen os>:680(__getitem__)
